audio_file,audio_path,query_text,chunk_id,doc_title,match_score,source_audio
libri100_01383.wav,./data/audio_clean/libri100_01383.wav,WHEN HE TURNED FOR RUTH SHE HAD ALREADY SPRUNG ASHORE AND HAD STARTED UP THE SLOPE FOR THE FIRST TIME THE OARS LAY FORGOTTEN IN THE BOTTOM OF THE BOAT,doc00009_chunk010,Academy Awards,0.1111,librispeech_train.100
libri100_01881.wav,./data/audio_clean/libri100_01881.wav,AND THUS THAT CHURCH THOUGH AN EXPENSIVE AND BURDENSOME ESTABLISHMENT WAS LIABLE TO MANY OF THE INCONVENIENCES WHICH BELONG TO AN ORDER OF PRIESTS TRUSTING ENTIRELY TO THEIR OWN ART AND INVENTION FOR OBTAINING A SUBSISTENCE,doc00304_chunk003,Anglicanism,0.1111,librispeech_train.100
libri360_01901.wav,./data/audio_clean/libri360_01901.wav,THE JUDGES OF THE FIELD DECIDED THAT THE KING OF IRELAND WAS ACQUITTED OF THE CHARGE AGAINST HIM AND THEY LED TRISTRAM IN TRIUMPH TO HIS TENT KING ARGIUS FULL OF GRATITUDE CONJURED TRISTRAM TO ACCOMPANY HIM TO HIS KINGDOM THEY DEPARTED TOGETHER AND ARRIVED IN IRELAND,doc00472_chunk008,Akkadian Empire,0.1111,librispeech_train.360
libri100_01524.wav,./data/audio_clean/libri100_01524.wav,IT WOULD BE A GOOD THING FOR THE REST OF US IF THEY DIDN'T NEST AT ALL BUT THEY DO AND AN OLD HOUSE OF YELLOW WING THE FLICKER SUITS EITHER OF THEM KILLY ALWAYS USES ONE THAT IS HIGH UP AND COMES BACK TO IT YEAR AFTER YEAR,doc00140_chunk030,Andy Warhol,0.0526,librispeech_train.100
libri360_01654.wav,./data/audio_clean/libri360_01654.wav,LONG THIS SAME RAIL EVERY DAY,doc00260_chunk022,Augustin-Jean Fresnel,0.0769,librispeech_train.360
libri100_00960.wav,./data/audio_clean/libri100_00960.wav,BUT THE SPOOK THAT PROVIDES A JOKE ON HIS HOST OR ON HIMSELF IS YANKEE IN ORIGIN AND DEVELOPMENT THE DRY HUMOR THE COMIC SENSE OF THE INCONGRUOUS THE WILLINGNESS TO LAUGH AT HIMSELF AS AT OTHERS,doc00201_chunk003,Hercule Poirot,0.0526,librispeech_train.100
libri100_00431.wav,./data/audio_clean/libri100_00431.wav,ORTHODOXY ACCEPTS THE CORRELATION AND EQUIVALENCE OF FORCES GRAVITATION IS ONE OF THESE FORCES ALL OTHER FORCES HAVE PHENOMENA OF REPULSION AND OF INERTNESS IRRESPECTIVE OF DISTANCE AS WELL AS OF ATTRACTION,doc00520_chunk012,Alfred the Great,0.0526,librispeech_train.100
libri100_00376.wav,./data/audio_clean/libri100_00376.wav,SAVE IN THE PARTICULAR SPOT MENTIONED IN THE LONDON TIMES MARCH TENTH EIGHTEEN FIFTY NINE VICAR GRIFFITH WRITES AN ACCOUNT THE ROOFS OF SOME HOUSES WERE COVERED WITH THEM,doc00478_chunk009,Albertus Magnus,0.0526,librispeech_train.100
libri100_00297.wav,./data/audio_clean/libri100_00297.wav,OH IT'S PRECISELY MY POINT THAT MISTER DENSHER CAN'T HAVE HAD VAST OPPORTUNITIES AND THEN SHE SMILED AT HIM I WASN'T AWAY YOU KNOW LONG IT MADE EVERYTHING IN THE ODDEST WAY IN THE WORLD IMMEDIATELY RIGHT FOR HIM,doc00068_chunk005,Aardvark,0.0526,librispeech_train.100
libri100_00716.wav,./data/audio_clean/libri100_00716.wav,WITH ALL VIRTUOUS AND WISE MEN THEREFORE I HONOUR THE NAME AND CALLING AS I AM ENJOINED TO HONOUR THE PHYSICIAN FOR NECESSITY'S SAKE THE KNOWLEDGE OF THE PHYSICIAN LIFTETH UP HIS HEAD AND IN THE SIGHT OF GREAT MEN HE SHALL BE ADMIRED,doc00149_chunk007,ABBA,0.0526,librispeech_train.100
libri360_00987.wav,./data/audio_clean/libri360_00987.wav,BUT I HAVE NOBODY AND I MUST TELL SOMEBODY JUDE BEFORE I MARRIED HIM I HAD NEVER THOUGHT OUT FULLY WHAT MARRIAGE MEANT EVEN THOUGH I KNEW IT WAS IDIOTIC OF ME THERE IS NO EXCUSE,doc00520_chunk002,Alfred the Great,0.0526,librispeech_train.360
libri100_01334.wav,./data/audio_clean/libri100_01334.wav,THIS OF ITSELF WILL BRING A SOFTNESS INTO A MAN'S MANNER AND WITHOUT DOUBT HIS FEARS HAD BEEN GROUNDLESS FEARS THAT HE HAD NOT DARED TO PUT INTO WORDS FOR OLD MAN AS HE WAS HE REALIZED THAT DOCTOR KEMP'S STRONG PERSONALITY,doc00281_chunk000,Aleister Crowley,0.0526,librispeech_train.100
libri100_01173.wav,./data/audio_clean/libri100_01173.wav,THEY RECOGNIZED THEIR MAKER AND HUMBLED THEMSELVES BEFORE HIM HE WAS RECONCILED AND TAUGHT THEM ARTS AND AGRICULTURE INSTITUTIONS AND RELIGION MERITING THE TITLE THEY GAVE HIM OF PACHAYACHACHIC,doc00520_chunk012,Alfred the Great,0.1111,librispeech_train.100
libri100_01859.wav,./data/audio_clean/libri100_01859.wav,SHE HAD EVIDENTLY RECOVERED CONSCIOUSNESS AND WAS MAKING FEEBLE EFFORTS TO RAISE HERSELF HER LARGE BLUE EYES WERE LOOKING AT THE MOONLIT SCENE ROUND HER WITH A SCARED AND TERRIFIED LOOK THEY RESTED WITH A MIXTURE OF HORROR AND PITY ON THE JEW,doc00113_chunk008,Asteroid,0.0526,librispeech_train.100
libri360_01175.wav,./data/audio_clean/libri360_01175.wav,ALL AT THE EXPENSE OF THE HOCKINS AND THE CONVERSATION AMONG THOSE WHO ATTENDED AND ATE AND DRANK AND WIPED THEIR EYES WAS RATHER ANENT THE GENEROSITY OF THE HOCKINS THAN OF THE VIRTUES OF THE DEPARTED,doc00035_chunk025,Amphibian,0.1111,librispeech_train.360
libri360_01182.wav,./data/audio_clean/libri360_01182.wav,AND IT'S A FINE PROVERB I FEELS IT IN MY INSIDES,doc00096_chunk002,Art,0.0769,librispeech_train.360
libri100_01250.wav,./data/audio_clean/libri100_01250.wav,WHILE TO GET OTHERS HE HAS NOT NEEDED TO USE UP THE ACCUMULATIONS OF THE PAST OR TO MORTGAGE THE FUTURE THE ONE KIND IS GROSS THE OTHER NET INCOME,doc00003_chunk024,Alabama,0.0526,librispeech_train.100
libri360_00161.wav,./data/audio_clean/libri360_00161.wav,IF HE HAD PREPARED ANY THING WHEREBY IT MIGHT APPEAR THAT HE WAS NOT GUILTY OF THE CRIMES HE WAS ACCUSED OF FOR THAT,doc00047_chunk000,Arraignment,0.125,librispeech_train.360
libri100_01778.wav,./data/audio_clean/libri100_01778.wav,HE SEEMED TO PREFER TO BE ALONE I CAN GIVE NO EXPLANATION AT ALL OF THE CHANGE I TRIED TO WORK AGAINST IT I DID ALL I COULD WITH JUSTICE TO MY OWN DIGNITY AS I THOUGHT,doc00424_chunk003,Alain de Lille,0.0526,librispeech_train.100
libri360_01856.wav,./data/audio_clean/libri360_01856.wav,A FAIRY FELL IN LOVE WITH HIM AND DREW HIM AWAY BY ENCHANTMENT WHILE HE WAS ENGAGED IN HUNTING HIS QUEEN SET OUT IN QUEST OF HIM BUT WAS TAKEN ILL ON HER JOURNEY AND DIED LEAVING AN INFANT SON WHOM FROM THE MELANCHOLY CIRCUMSTANCES OF HIS BIRTH,doc00209_chunk009,April 30,0.0526,librispeech_train.360
libri100_02229.wav,./data/audio_clean/libri100_02229.wav,THE MOST UNACCUSTOMED OF HIS COMPLICATED CHROMATIC MODULATIONS WE CAN FEEL HIS INDIVIDUALITY PULSATING THROUGH EVERY TONE EVOKED BY THOSE INDIVIDUALIZED FINGERS OF HIS AS THEY WEAVE MEASURES FOR SYLPHS,doc00100_chunk040,American Revolutionary War,0.0526,librispeech_train.100
libri360_01888.wav,./data/audio_clean/libri360_01888.wav,KING MARK MADE HIS NEPHEW GIVE HIM A MINUTE RECITAL OF HIS ADVENTURES TRISTRAM TOLD HIM ALL MINUTELY BUT WHEN HE CAME TO SPEAK OF THE FAIR ISOUDE HE DESCRIBED HER CHARMS WITH A WARMTH AND ENERGY SUCH AS NONE BUT A LOVER COULD DISPLAY,doc00520_chunk002,Alfred the Great,0.0526,librispeech_train.360
libri100_00165.wav,./data/audio_clean/libri100_00165.wav,JUST AS YOU SAY TEDDY COULDN'T HAVE BEEN THE ONE TO PUT THE MATCH TO THE CAMP OVER AT LUMBER RUN WHEN NACKERSON HAD GONE AWAY PERHAPS WITH ONE OF HIS PALS WHO AGREED TO STAND BACK OF HIM THAT'S THE TIME TEDDY LIT OUT,doc00004_chunk009,Achilles,0.1111,librispeech_train.100
libri100_02980.wav,./data/audio_clean/libri100_02980.wav,A STATE WHICH AT FIRST WAS DESPOTISM THEN MONARCHY THEN ARISTOCRACY TODAY DEMOCRACY AND ALWAYS TYRANNY WITHOUT THE TIES OF PROPERTY IT NEVER WOULD HAVE BEEN POSSIBLE,doc00329_chunk000,List of governors of Alabama,0.1111,librispeech_train.100
libri360_01531.wav,./data/audio_clean/libri360_01531.wav,AND TOLD HIM WHAT I WAS DOING WELL HE SAID TO ME EDISON YOU ARE DOING A GOOD THING FOR THE EASTERN FURNACES THEY OUGHT TO HELP YOU,doc00102_chunk000,Algorithm,0.0526,librispeech_train.360
libri100_01088.wav,./data/audio_clean/libri100_01088.wav,NONE CAME AND HE DARED TO SLIP AROUND THE BOLE OF THE TREE UNDER WHICH HE STOOD LISTENING INTENTLY FOR ANY CORRESPONDING MOVEMENT OVERHEAD NOW HE WAS FACING THAT SURVIVOR'S CAMP,doc00529_chunk008,Age of consent,0.0526,librispeech_train.100
libri360_01544.wav,./data/audio_clean/libri360_01544.wav,THUS WAS SWEPT AWAY THE POSSIBILITY OF REAPING THE REWARD SO RICHLY EARNED BY YEARS OF INCESSANT THOUGHT LABOR AND CARE THIS GREAT AND NOTABLE PLANT REPRESENTING A VERY LARGE OUTLAY OF MONEY BROUGHT TO COMPLETION,doc00529_chunk002,Age of consent,0.0526,librispeech_train.360
libri100_02720.wav,./data/audio_clean/libri100_02720.wav,FOR GOODNESS SAKE PETER RABBIT YOU DON'T MEAN TO SAY YOU DON'T KNOW WHOSE VOICE THAT IS SHE CRIED THAT'S ROSEBREAST HE AND MISSUS ROSEBREAST HAVE BEEN HERE FOR QUITE A LITTLE WHILE,doc00065_chunk010,Ambiguity,0.0526,librispeech_train.100
libri100_00809.wav,./data/audio_clean/libri100_00809.wav,CHAPTER THIRTY FIVE SHE TRIED TO BE CONTENT WHICH WAS A CONTRADICTION IN TERMS SHE FANATICALLY CLEANED HOUSE ALL APRIL SHE KNITTED A SWEATER FOR HUGH SHE WAS DILIGENT AT RED CROSS WORK,doc00260_chunk022,Augustin-Jean Fresnel,0.0526,librispeech_train.100
libri100_00833.wav,./data/audio_clean/libri100_00833.wav,CHUCKED HIM IN THE RIBS AND SAID SAY BOY,doc00121_chunk030,Alfred Hitchcock,0.0833,librispeech_train.100
libri100_01662.wav,./data/audio_clean/libri100_01662.wav,SHE WILL NEVER BELIEVE BUT WHAT I DID IT ON PURPOSE I SHOULD THINK SHE WOULD BETTER PUNISH DIANA FOR BEING SO GREEDY AS TO DRINK THREE GLASSFULS OF ANYTHING SAID MARILLA SHORTLY WHY THREE OF THOSE BIG GLASSES WOULD HAVE MADE HER SICK EVEN IF IT HAD ONLY BEEN CORDIAL,doc00096_chunk008,Art,0.1111,librispeech_train.100
libri360_01516.wav,./data/audio_clean/libri360_01516.wav,THIS SAND WAS TRANSPORTED AUTOMATICALLY BY BELT CONVEYORS TO THE REAR OF THE WORKS TO BE STORED AND SOLD BEING SHARP CRYSTALLINE AND EVEN IN QUALITY IT WAS A VALUABLE BY PRODUCT FINDING A READY SALE FOR BUILDING PURPOSES RAILWAY SAND BOXES AND VARIOUS INDUSTRIAL USES,doc00096_chunk008,Art,0.1111,librispeech_train.360
libri100_02333.wav,./data/audio_clean/libri100_02333.wav,ILL DEFINED EMBANKMENT FROM THE ICY MESHES OF WHICH SNOW FLOWERS BEGAN TO FALL ALTERNATING WITH HAIL THE SKY SPEEDILY DARKENED AND JUST AS I HAD COMPLETED MY LAST OBSERVATION AND BOXED MY INSTRUMENTS READY FOR THE DESCENT,doc00077_chunk022,Angola,0.0526,librispeech_train.100
libri100_01446.wav,./data/audio_clean/libri100_01446.wav,AND LET ME ALONE HEREAFTER IN FACT WE MUST BE STRANGERS FOR THE FUTURE I WILL THEN BE YOUR FRIEND OR BROTHER OR ANYTHING YOU WISH IF YOU WILL ONLY LET ME CONTINUE TO SEE YOU BUT TELL ME WHY I CANNOT BE ANYTHING MORE,doc00068_chunk005,Aardvark,0.0526,librispeech_train.100
