audio_id,filename,filepath,text,source,duration,snr_db
libri100_01383,libri100_01383.wav,./data/audio_clean/libri100_01383.wav,WHEN HE TURNED FOR RUTH SHE HAD ALREADY SPRUNG ASHORE AND HAD STARTED UP THE SLOPE FOR THE FIRST TIME THE OARS LAY FORGOTTEN IN THE BOTTOM OF THE BOAT,librispeech_train.100,9.21,33.22
libri100_01881,libri100_01881.wav,./data/audio_clean/libri100_01881.wav,AND THUS THAT CHURCH THOUGH AN EXPENSIVE AND BURDENSOME ESTABLISHMENT WAS LIABLE TO MANY OF THE INCONVENIENCES WHICH BELONG TO AN ORDER OF PRIESTS TRUSTING ENTIRELY TO THEIR OWN ART AND INVENTION FOR OBTAINING A SUBSISTENCE,librispeech_train.100,13.165,31.47
libri360_01901,libri360_01901.wav,./data/audio_clean/libri360_01901.wav,THE JUDGES OF THE FIELD DECIDED THAT THE KING OF IRELAND WAS ACQUITTED OF THE CHARGE AGAINST HIM AND THEY LED TRISTRAM IN TRIUMPH TO HIS TENT KING ARGIUS FULL OF GRATITUDE CONJURED TRISTRAM TO ACCOMPANY HIM TO HIS KINGDOM THEY DEPARTED TOGETHER AND ARRIVED IN IRELAND,librispeech_train.360,15.045,49.48
libri100_01524,libri100_01524.wav,./data/audio_clean/libri100_01524.wav,IT WOULD BE A GOOD THING FOR THE REST OF US IF THEY DIDN'T NEST AT ALL BUT THEY DO AND AN OLD HOUSE OF YELLOW WING THE FLICKER SUITS EITHER OF THEM KILLY ALWAYS USES ONE THAT IS HIGH UP AND COMES BACK TO IT YEAR AFTER YEAR,librispeech_train.100,13.455,35.07
libri360_01654,libri360_01654.wav,./data/audio_clean/libri360_01654.wav,LONG THIS SAME RAIL EVERY DAY,librispeech_train.360,3.295,58.23
libri100_00960,libri100_00960.wav,./data/audio_clean/libri100_00960.wav,BUT THE SPOOK THAT PROVIDES A JOKE ON HIS HOST OR ON HIMSELF IS YANKEE IN ORIGIN AND DEVELOPMENT THE DRY HUMOR THE COMIC SENSE OF THE INCONGRUOUS THE WILLINGNESS TO LAUGH AT HIMSELF AS AT OTHERS,librispeech_train.100,15.7,47.19
libri100_00431,libri100_00431.wav,./data/audio_clean/libri100_00431.wav,ORTHODOXY ACCEPTS THE CORRELATION AND EQUIVALENCE OF FORCES GRAVITATION IS ONE OF THESE FORCES ALL OTHER FORCES HAVE PHENOMENA OF REPULSION AND OF INERTNESS IRRESPECTIVE OF DISTANCE AS WELL AS OF ATTRACTION,librispeech_train.100,13.765,77.76
libri100_00376,libri100_00376.wav,./data/audio_clean/libri100_00376.wav,SAVE IN THE PARTICULAR SPOT MENTIONED IN THE LONDON TIMES MARCH TENTH EIGHTEEN FIFTY NINE VICAR GRIFFITH WRITES AN ACCOUNT THE ROOFS OF SOME HOUSES WERE COVERED WITH THEM,librispeech_train.100,13.51,75.84
libri100_00297,libri100_00297.wav,./data/audio_clean/libri100_00297.wav,OH IT'S PRECISELY MY POINT THAT MISTER DENSHER CAN'T HAVE HAD VAST OPPORTUNITIES AND THEN SHE SMILED AT HIM I WASN'T AWAY YOU KNOW LONG IT MADE EVERYTHING IN THE ODDEST WAY IN THE WORLD IMMEDIATELY RIGHT FOR HIM,librispeech_train.100,15.945,38.01
libri100_00716,libri100_00716.wav,./data/audio_clean/libri100_00716.wav,WITH ALL VIRTUOUS AND WISE MEN THEREFORE I HONOUR THE NAME AND CALLING AS I AM ENJOINED TO HONOUR THE PHYSICIAN FOR NECESSITY'S SAKE THE KNOWLEDGE OF THE PHYSICIAN LIFTETH UP HIS HEAD AND IN THE SIGHT OF GREAT MEN HE SHALL BE ADMIRED,librispeech_train.100,14.36,37.8
